titulo,transcripcion
Cómo consultar y modificar cotizaciones de monedas?,"en listas cotizaciones de monedas lo que
tenemos es justamente las cotizaciones
que se fueron registrando de las monedas
extranjeras que tenemos en el sistema en
este caso la única moneda extranjera que
tenemos es el dólar
y en el rango de fechas está el día de
hoy si yo poco buscar me va a mostrar la
cotización que se confirmó para el día
de hoy como se confirma la cotización
cuando yo abro el sistema por primera
vez en el día el primer usuario que abra
el sistema le va a aparecer un cuadrito
con la cotización que se confirmó el día
anterior o la última cotización que se
confirmó y un botón confirmar yo voy a
poner la cotización del día y voy a
poner una vez que pongo toco el botón
confirmar estoy confirmando esa
cotización qué pasa si los cierro con la
cruz de arriba sin confirmar nada
el sistema lograba cotización de diría
hasta que llamado confirme no se graba
una cotización del día
vamos a hacer una prueba así yo pongo
quiero mirar las cotizaciones desde el
primero de octubre hasta el 5 de octubre
y poco buscar fíjense que la única
cotización que me trae confirmada es la
del 5 de octubre porque porque ni el
primero ni el 2003 mil cuatro se
confirmó
en una base que se usa para trabajar
todos los días esto es casi imposible
está como es una base de prueba por eso
pasa esto si yo me voy para atrás con la
fecha si pongo desde el 1º de septiembre
y busco acá me trae todas las
cotizaciones por día que fueron
confirmadas
si por ejemplo acá desde el primero de
septiembre hasta el 4 de septiembre no
se confirmó nada el 4 de septiembre se
confirmó la misma fíjense que se
confirmó la misma cotización por varios
días
esto es lo que decíamos recién en la
última cotización previa que se tenía
era la del 30 de septiembre
esto en realidad es un informe si yo
quiero saber bueno qué cotización tenía
confirmada porque tengo que registrar
alguna operación o algún comprobante con
una fecha anterior y no quiero meter la
pata lo que hago es fijarme qué
cotización tenía confirmada me puede
pasar que yo necesito modificar una
cotización yo quiero la cotización del
30 de septiembre o la de hoy por ejemplo
soy confirme una cotización de 1789 y
está mal entonces lo que hago es
seleccionar el renglón y tocar el botón
modificar y se me abre este cuadrito que
es como el que se abre el principio
cuando yo les decía que uno confirma la
cotización
entonces le voy a poner
la cotización que quiero y voy a aceptar
y si vuelvo a buscar
la cotización está cambiada así
esto además me permite imprimir el
informe exportarlo a una planilla de
excel
si yo quisiera agregar por ejemplo la
cotización del 2 de octubre que no la
tengo
la confirmó y va a aparecer en la lista"
Cómo configurar impuestos y cuentas contables de diferencias de cambio?,"listas cuentas e impuestos de
diferencias de cambio en este punto lo
que vamos a hacer es definir cuáles van
a ser los impuestos que se van a aplicar
al emitir un comprobante de diferencia
de cambio y a qué cuentas contables va a
mandar esos movimientos
vamos a traer algo con impuestos y
fíjense que dos solapas una de impuestos
y otras de cuentas contables primero
vamos a definir vamos a poner los tildes
de los impuestos que queremos que graben
las diferencias de cambio en el caso de
la alícuota de iva
vamos a utilizar dos porque de acuerdo
al artículo que se esté ajustando en el
caso de que lo que se está ajustando
haya sido facturado con el diez y medio
la diferencia de cambio también va a ser
así así que vamos a ponerle las dos
posibilidades y el iva del 21 y del 10 y
medio
ponemos los tildes y luego pasamos a la
solapa de cuentas contables donde le
vamos a decir tanto para crédito y para
débito
cuál es la cuenta contable que se va a
usar
acá podemos aceptar y por último tenemos
que tocar el botón grabar si no tocamos
grabar no pasa nada
y luego lo cerramos"
Cómo configurar la impresión de cheques en impresora de matriz de punto?,"dentro del punto entidades financieras
también está este botón cheques yo lo
que hago es seleccionar un banco de la
lista y me voy al botón cheques lo que
se configura desde acá es la impresión
de cheques con impresora de matriz de
puntos si en cada una de estas columnas
tenemos que poner la ubicación donde se
va a imprimir cada uno de los campos que
tenemos al lado por ejemplo el importe
ponemos como si fueran las coordenadas
la fila y la columna donde se tiene que
imprimir el día de libranza la palabra
de el mes de libranza todos los campos
que se imprimen en el cheque fíjense que
tenemos un modelo para los cheques a la
fecha y city le damos a cada pago
diferido se agregan otros campos que son
los que difieren en elche que una vez
que completamos estos campos tocamos el
botón grabar y luego salir esto
generalmente no son muchas las empresas
que imprimen cheques con este tipo de
impresoras pero lo que generalmente
hacemos es que nos manden
en el momento que lo tengan que
configurar como esto difiere por cada
banco y es bastante difícil de entender
cuál es la fila y la columna
generalmente nos mandan un cheque
impreso de nosotros lo configuramos
desde acá tal vez tenemos que ser algún
par de pruebas pero normalmente lo
hacemos nosotros"
Cómo dar de alta Items?,"vamos a dar de alta los ítems vamos a
ver cómo se da de alta un ítem
vamos a entrar a listas items items
y fíjense que acá aparece ya una lista
estos ítems sirven para que yo pueda
agilizar la carga de comprobantes ya sea
registrar un ítem una factura que me
manda un tercero un proveedor o emitir
yo una factura y esto estos ítems lo que
hace es lo que hacen es que yo pueda
tener ya preconfigurado lo vamos a ver
más adelante en la registración de
comprobantes pero yo voy a tener
configurado el tipo de importe que va a
tener eso que estoy facturando y que
cuenta contable va a utilizar por lo
menos ese renglón del comprobante hasta
le puedo indicar cuál es el precio para
no tener que ingresarlo cada vez si es
un monto fijo si ese ítem se repite cada
vez con el mismo precio ya puedo dejar
grabado qué precio tiene
después vamos a ver bien cómo se
utilizan acá lo que vamos a hacer es dar
de alta uno para verlo y vamos a
modificar tal vez alguno que sea este
grabado porque puede pasar que eso lo
necesiten vamos a dar de alta el ítem
publicidad
1 le pongo el 1 porque él y está en
publicidad si existe si lo quiero volver
a grabar me va a decir
que no lo puedo repetir
entonces el nombre del ítem es
publicidad 1 le puedo poner un alias
para encontrarlo fácilmente le vamos a
poner p
1
y le vamos a poner un precio por ejemplo
500 pesos
una vez que configure esto tengo que
entrar al botón impuestos para indicar
cómo va a estar grabado ese ítem y luego
qué cuentas contables va a utilizar en
la solapa impuestos vamos a establecer
que lleva un iva del 21%
y le vamos a poner una percepción de
ingresos brutos

se le vamos a sacar la presencia de los
guardias se la sacamos
y en la solapa de cuentas contables
vamos a poner
una cuenta contable de publicidad
para ventas y para compras vamos a
configurar todo tal vez no hay una de
las dos que los usemos nunca
porque lo más probable es que nosotros
registremos una factura de publicidad no
creo que tengamos que emitir una factura
de publicidad pero no importa lo vamos a
tener configurado
y una vez que pusimos todos vamos a
poner aceptar
solamente nos queda agregarlo para que
nos aparezca disponible al momento de
registrar un comprobante si tuviéramos
que modificar alguno lo que hacemos es
seleccionarlo y por ejemplo le queremos
modificar el nombre el alias
el precio por supuesto también si
tuviera el tipo de importe el tipo de
grabado modificar algún impuesto la
cuenta contable cualquier cosa que
quedamos que querramos modificar lo
hacemos y luego tocamos el botón
modificar nunca olvidarse de esto porque
si no lo grabamos nada
y lo mismo con el botón eliminar si yo
quiero seleccionar algunos y eliminarlo
confirma la eliminación del ítem
listo lo eliminamos si este ítem
estuviera utilizado en otra tabla no nos
va a dejar eliminarlo
si hay un ítem que yo uso frecuentemente
y por algún motivo no lo quiero usar más
y no quiero que nadie en la empresa lo
use como ya está usado no lo vamos a
poder eliminar lo que sí podemos hacer
por ejemplo es cambiarle el nombre
podemos no usar
modificar entonces en el momento de
registrar un comprobante cuando yo
recorra toda la lista de ítems
claramente este no lo voy a utilizar"
"Cómo dar de alta, modificar o eliminar monedas?","en listas monedas lo que vamos a poder
hacer es dar de alta o modificar las
monedas y en este caso por ejemplo están
dadas de alta pesos y dólares si
quisiéramos dar de alta otra moneda por
ejemplo euro
escribimos el nombre en la descripción
tenemos que poner el símbolo
y el código de presentación es para
todos estos datos son obligatorios
en este caso el código de 0-60
este tilde lo que me dice me indica si
va a ser la moneda predeterminada en
este caso seguramente le vamos a decir
que no así que vamos a sacar el tilde
rojo y vamos a agregar de esta manera ya
tengo el euro también como moneda para
seleccionar en los distintos puntos del
sistema donde tengo que indicarle qué
moneda en qué moneda voy a grabar el
comprobante voy a tener también
disponible el euro desde acá también
podemos modificar
si quisiéramos modificar algún dato

de una moneda que ya existe con el botón
modificar modificamos el dato y si
quisiéramos eliminarla siempre y cuando
no esté usada en otra tabla nos va a
permitir también desde acá en este caso
el euro que sabemos que la dimos de alta
recién si la queremos eliminar
lo podemos hacer"
"Cómo dar de alta, modificar o eliminar leyendas?","listas otras listas leyendas acá lo que
podemos hacer es pre determinar una
leyenda que queremos que aparezca en
algún formulario para no tener que
escribirla cada vez en la configuración
de los formularios hay un campo que se
llama leyenda que si necesito lo puedo
incluir y si no no pero si lo quiero la
leyenda que va a traer ese campo el dato
con el que se va a completar va a ser la
leyenda que figura acá
puedo tener varias leyendas lo
importante en este punto es como las doy
de alta las elimina o las modificó
después vamos a ver en otro punto qué
uso le damos
si yo yo por ejemplo tengo seleccionada
fíjense que arriba tengo otras leyendas
y
sobre la que yo selecciono arriba me
aparece abajo y ahora voy a cambiar a la
segunda me aparece la leyenda cambio a
la tercera y cambia la leyenda voy a
seleccionar la primera supongamos que la
quiero eliminar
voy a pintar dentro del campo de
descripción y la voy a eliminar confirme
la eliminación del ítem
y fíjense que arriba ya no está me
quedaron dos supongamos que quiero
agregar una arriba así o si tengo que
tener seleccionado alguna no puedo no
seleccionar nada pero no importa porque
lo que voy a hacer es pararme sobre
cualquiera la voy a pintar la voy a
eliminar voy a escribir cualquier otra
cosa y voy a poner agregar entonces la
que estaba no la toque quedó igual
solamente lo que hice fue agregar una
nueva
entonces ya agregamos eliminamos y si
esta la quisiéramos modificar la
selección o acá abajo borro lo que no va
por ejemplo y agregó otro poco y toco el
botón modificar"
"Cómo dar de alta, modificar o eliminar países, provincias, partidos y localidades?","por último en la parte de listas
existen estás
qué son las podemos ver todas juntas es
la lista de países de provincias de
partidos y de localidades
la lista de países básicamente la usan
las empresas que son exportadoras si
tuviéramos que dar de alta algún país le
indicamos al sistema el nombre y el cuit
y lo agregamos
no vamos a dejar abierto y vamos a ir a
la lista de provincias
y acá nos pasa lo mismo en la argentina
a todas las provincias están dadas de
alta ya con todos los datos que requiere
pero por ejemplo si yo quisiera agregar
una provincia del país paraguay lo puedo
hacer si es que lo necesito
y bueno ahí sí voy a usar el botón
agregar
estas las tienen que dar de alta cada
usuario a medida que las va necesitando
si es que en algún momento necesita
alguna luego de los partidos
las provincias están los partidos que
fíjense que cada una de las listas va
incluyendo la anterior
para elegir un partido yo voy a
seleccionar primero el país luego la
provincia y entonces ahora sí me lista
todos los partidos de esa provincia y
por último
la lista de localidades
para ver todas las localidades yo
selecciona un país luego una provincia
un partido y acá están todas las
localidades"
Cómo dar de alta y asignar una situación crediticia?,"listas situación crediticia en este
punto lo que vamos a poder hacer es dar
de alta etiquetas con por ejemplo
categorías o con situaciones crediticias
que luego voy a poder utilizar en mi
padrón de cuentas corrientes si yo tengo
por ejemplo cuentas corrientes a las que
les necesito indicar porque son
peligrosas porque están en nuestra
acción complicada puedo ponerles una
etiqueta para que todos los que operen
con esa cuenta sepan en qué situación
está por ejemplo
vamos a poner moroso grado 1

y vamos a poner moroso grado 2
por poner un ejemplo sí
yo solamente acá doy de alta a la
etiqueta con el nombre que me resulte
familiar a mí el que me resulte práctico
a mí lo que puedo hacer después es ir a
la lista de cuentas corrientes

y en la solapa de crédito se selecciona
cualquier cuenta corriente y le asignó
una situación crediticia y luego
modificó para que esa situación
crediticia quede grabada es solamente
para tener la información rápidamente de
la situación de esa cuenta corriente
entonces dijimos que lo hacíamos desde
listas situación crediticia"
"Cómo dar de alta, y utilizar una subcuenta corriente?","listas sus cuentas corrientes este punto
es bastante particular
pero puede ser muy útil por ejemplo para
este tipo de cuentas y acá tenemos una
cuenta un ejemplo que es una sociedad
son dos personas que tienen una sociedad
de hecho si bien la cuenta corriente
para mí es una sola cuando yo pero con
ellos tengo algunos comprobantes que son
de uno y otros comprobantes que son del
otro o ellos internamente se hacen cargo
de una parte o de otra de la empresa y
lo mismo para los pagos y los cobros
entonces al momento de registrar
operaciones
yo puedo si bien voy a establecer la
única cuenta corriente que se está voy a
además voy a aclarar cuál es la
subcuenta con la que estoy operando si
esto es un dato interno para la cuenta
es una sola y el cuit es uno solo vamos
a hacer la prueba yo por ejemplo doy de
alta una subcuenta para guillermo

y voy a dar de alta otra su cuenta para
eduardo

bien
y de alta las subcuentas por supuesto
podría modificar o eliminar con estos
botones que están abajo
y vamos a hacer una prueba así yo voy a
registrar
un movimiento de fondos por ejemplo
voy a recibir un cobro
voy a registrar un cobro voy a poner el
número de la cuenta corriente
y voy a poder elegir la subcuenta así
entonces al momento de listar los
movimientos en informes voy a tener
separados con quien realice esta parte
de la operación"
"Cómo dar de alta, modificar o eliminar tipos de cuentas corrientes?","en listas tipos de cuentas corrientes lo
que vamos a encontrar son todos los
tipos de cuentas posibles que puedo usar
para clasificar a mis cuentas corrientes
acá yo puedo agregar el tipo de cuenta
que quiero que me resulta práctico a mí
si puedo modificar algunos de los que ya
existe
por ejemplo a este le vamos a cambiar el
nombre
con el botón modificar
si hubiera alguno que no está usado lo
podríamos eliminar en este caso todos
van a estar usados así que por más que
yo le diga al sistema que lo quiero
eliminar cuando me pregunta si confirmó
la eliminación me dice que no lo puede
eliminar porque está usado en otra tabla
y por supuesto voy a poder agregar

por ejemplo
uno nuevo sí
estos tipos de cuentas van a estar
después como opción cuando yo dé de alta
una cuenta corriente nueva o si le
quiero cambiar el tipo a una cuenta
corriente que ya existe van a aparecer
todos estos tipos de cuenta que tengo en
esta lista"
"Cómo dar de alta, modificar o eliminar tipos de movimientos?","y estas tipos de movimientos de cuentas
corrientes acá lo que vamos a hacer es
dar de alta a algún otro tipo de
movimientos que necesitemos en cada
empresa se van a dar de alta a los que
se vayan necesitando para operar si los
movimientos contables son los que están
siempre son los movimientos comunes se
llaman contables y son contables y eso
quiere decir que van a aparecer en
nuestra contabilidad podemos dar de alta
por ejemplo un tipo de movimiento que
sea extra contable
y que no sea contable que no aparezca en
nuestra contabilidad cuando yo registre
un movimiento o emita un movimiento y en
el selector ya lo vamos a ver en el
momento que veamos cómo registrar un
comprobante en el selector de tipo de
movimiento seleccione extracontable y
ese movimiento no va aparecer en mi
contabilidad
por ejemplo podría dar de alta un
movimiento que se llame directo
y que este movimiento no sea contable en
los casos de las operaciones de insumos
cuando yo pero con mi sistema pero el
nombre de otra empresa así yo voy a
registrar o emitir facturas pero a
nombre de mi proveedor esos movimientos
no van a afectar mi contabilidad"
Cómo registrar un ingreso a caja?,"otro de los movimientos posibles dentro
del opciones de las opciones de
movimientos de fondos son entrada o
salida de caja
si nosotros seleccionamos entrada de
caja en el segundo selector vamos a
seleccionar a que caja vamos a hacer el
depósito
y después en el botoncito amarillo vamos
a indicar
y de qué manera vamos a hacer este
ingreso a la caja podemos hacer un
cheque propio podemos seleccionar un
cheque de terceros
podemos ingresar efectivo que sacamos de
otra caja
o podemos hacer una transferencia vamos
a suponer que vamos a depositar un
cheque de terceros
seleccionamos el cheque
aceptamos
le vamos a poner número con esta flecha
azul porque solamente lo vamos a grabar
si yo lo fuera a imprimir no le pongo
número y tengo habilitado el botón de
imprimir pero en este caso como es un
movimiento interno solamente lo vamos a
grabar"
Cómo hacer un asiento contable?,"vamos a ver cómo hacer un asiento
contable entramos a registración
asientos contables y por este punto lo
que podemos hacer es un asiento suelto
sin pasar por ninguno de los puntos del
sistema que generará demás asientos
tenemos que seleccionar la moneda
podemos seleccionar si no quisiéramos
hacer un asiento contable podemos
seleccionar cualquier otro tipo de
movimientos que dimos previamente de
alta en listas tipos de movimientos
y lo que tenemos que seleccionar es la
cuenta contable que vamos a usar

de esta manera lo que vamos a completar
completamos la cantidad del importe
lo subimos con la carpetita amarilla y
completamos la columna del debe y ahora
lo que vamos a hacer es lo mismo para
completar la columna del haber
seleccionamos cualquier otra cuenta
corriente otra cuenta contable
estoy seleccionando cualquiera y fíjense
que directamente me completa con el
signo contrario el mismo importe lo subo
con lea con el botoncito amarillo y se
mejoró el asiento directamente toco el
botón aceptar y esto queda grabado
se generó el asiento 911 55 si yo
quisiera eliminarlo lo puedo eliminar
por supuesto es del libro diario como
cualquier asiento pero también puedo
llamarlo por número de g acá
me lo trae y lo puedo modificar con este
botoncito o directamente eliminarlo

a siendo eliminado"
Cómo dar de alta un cheque anulado?,"vamos a ver cómo anular un cheque
entramos a registración alta de cheque
anulado lo que tenemos que seleccionar
primero es la entidad financiera vamos a
seleccionar cualquiera y acá vamos a
poner
el número de cheque esta es la fecha en
que estamos dando de alta el cheque
anulado y esta es la fecha del cheque si
fuera un pago diferido
lo puedo poner
la fecha de vencimiento del cheque y lo
grabamos este número de cheque no tiene
lotes de cheque era asignado deberá
definir el lote configuración
formularios lotes no da de alta como
anulado de todas formas sí
este error está este cartel aparece se
ha generado el asiento de importe 09 11
56
este cartel lo que lo que me está
diciendo es que yo no tengo cargado un
lote de cheques las empresas que
imprimen los cheques desde el sistema
tienen que cargar un lote para que el
sistema sepa cuál es el número
correlativo que sigue en la impresión de
los cheques en este caso como no lo
estamos usando esta herramienta nos
aparece esa advertencia pero de todas
maneras nos permite anularlo"
